Locustag	Gene	Description	FeatureType	logFC	PValue	FDR	13_983_37C_A	14_983_37C_B	15_983_37C_C	22_1970_37C_A	23_1970_37C_B	24_1970_37C_C
DN756_00005	dnaA	chromosomal replication initiator protein DnaA	CDS	-0.442969030734759	0.00141914006853274	0.0067040980124318	631.027219734515	742.542757347725	675.299020484687	515.648695652138	418.097042338809	573.214190809065
DN756_00010		DNA polymerase III subunit beta	CDS	-0.427157692128412	6.62867041639038e-06	8.40330812913287e-05	372.790253954202	385.274070757467	395.104164176856	295.239490650433	259.75531284626	302.612151397907
DN756_00020	recF	DNA replication/repair protein RecF	CDS	-0.598233524839187	1.16833560595527e-06	2.0087349516982e-05	288.94197085785	238.845919254629	287.549052011449	175.929664581134	156.249592593829	206.58181543766
DN756_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	-0.0907922164772831	0.199604116962253	0.336537917740229	1346.69003038788	1209.16580116232	1294.89000851447	1188.59797777985	1288.64621714277	1138.79683174049
DN756_00030		sugar-phosphatase	CDS	-0.178008308847245	0.103836741608153	0.208046575050953	23.520821197216	28.9388969727831	24.9123379460047	22.3967568235351	22.9033934175592	22.8946496329064
DN756_00035		hypothetical protein	CDS	0.50198388093467	0.314032549201584	0.466103887403314	0.885721300313574	0.266717944449614	0.643492124066541	0.941919679494469	0.8808997468292	0.847949986403942
DN756_00040		ornithine cyclodeaminase family protein	CDS	0.283372960161892	0.00801696300191684	0.0277819669426288	56.2925093088182	49.8762556120778	46.8829976105623	54.1080526998489	69.4809675311532	62.7482989938917
DN756_00045		threonine/serine dehydratase	CDS	0.11973307095483	0.24268393072256	0.386865032421239	53.3401049744397	46.6756402786824	47.9861269661049	49.5031120445426	58.0292708223736	53.4208491434484
DN756_00050		DUF3748 domain-containing protein	CDS	0.212835370947328	0.0327289326485616	0.084588454316218	75.6799644379042	60.9450503067368	65.9119789936728	74.2023391957309	85.7776128474934	75.0435737967489
DN756_00055		YceK/YidQ family lipoprotein	CDS	0.403322347079829	0.0990173825652323	0.200834481148122	13.5810599381415	16.0030766669768	14.3406816220543	23.5479919873617	13.543833607499	20.7747746668966
DN756_00060		heat shock protein IbpA	CDS	0.696992179856939	0.0291284574668633	0.0772260758519222	34.4447172344167	33.3397430562017	39.8965116921255	51.1776359191995	64.4157939868853	59.356499048276
DN756_00065	ibpB	heat shock chaperone IbpB	CDS	0.403130074376589	0.229604600271986	0.373445403446843	96.3467947785543	86.8166909183493	109.485588537607	118.158590905473	153.717005821695	115.639179395838
DN756_00070		putative transporter	CDS	-0.887919813252524	0.000134853839037383	0.000956149520679214	115.931076863266	87.6168447516982	123.918197605957	50.0264007553729	70.5820922146897	56.7066553407636
DN756_00075		valine--pyruvate transaminase	CDS	0.214336829435834	0.16715050542895	0.294553085006956	29.1303894325353	33.4731020284266	31.7149689718509	37.5721294376127	32.4831781643268	39.2176868711823
DN756_00095		alpha-amylase	CDS	-1.44960364432504	6.71675988056474e-06	8.46142769859823e-05	321.320005058202	185.235612420257	379.568425752964	86.8659259978232	105.487744682797	132.492185375616
DN756_00100		bifunctional glyoxylate/hydroxypyruvate reductase B	CDS	0.291280325426869	0.00584454841900791	0.0211884714629373	130.693098535158	126.424305669117	117.759058704177	143.590422251823	164.397915251999	150.723110083301
DN756_00105		transcriptional regulator	CDS	0.481201271816648	0.0212729123032863	0.0597610706079698	7.57783779157169	11.3355126391086	9.37659952211245	11.3030361539336	15.3056331011574	12.6132560477586
DN756_00110		hypothetical protein	CDS	0.403721223591324	0.0513599604865324	0.120886017455375	4.72384693500573	4.80092300009305	4.22866252958013	6.17480678779707	5.2853984809752	6.67760614293105
DN756_00115		OmpA family lipoprotein	CDS	0.113161435482544	0.569375209119136	0.700312277473521	8.85721300313574	11.068794694659	8.27347016656981	12.140298091262	6.93708550627995	11.1293435715517
DN756_00120		N-acetyltransferase	CDS	0.110370264208578	0.653013228141482	0.766705374341248	5.51115475750668	8.80169216683726	5.97528400918931	9.20988131061258	4.1842737974387	8.16151861913794
DN756_00125	tag	DNA-3-methyladenine glycosylase I	CDS	-0.240112124878121	0.0687379082470885	0.151049950871002	23.4224077194034	18.8036150836978	21.0513852016054	19.5709977850517	16.9573201264621	17.1709872246798
DN756_00130		hypothetical protein	CDS	0.612002225981569	0.241327329936556	0.385623168618206	1.57461564500191	0.533435888899228	0.919274462952201	2.09315484332104	0.6606748101219	2.01388121770936
DN756_00135	glyQ	glycine--tRNA ligase subunit alpha	CDS	-0.365405898042315	0.00444944367846343	0.0168632652563146	400.444441219548	413.279454924677	436.655369902296	320.880637481116	303.029512909245	346.705550690912
DN756_00140		glycine--tRNA ligase subunit beta	CDS	-0.56869068158821	4.71220042244104e-06	6.44268767655249e-05	524.15018283001	478.358633370383	561.492841971205	347.882334959957	325.272231516682	381.471500133474
DN756_00145		hypothetical protein	CDS	-0.317115806534217	0.0546542928207155	0.126047839401143	13.4826464603288	12.8024613335815	13.0536973739213	10.5704319587713	8.808997468292	12.1892810545567
DN756_00150		DUF3053 domain-containing protein	CDS	0.0651930514439011	0.383040246463879	0.533539369726807	168.779114448642	144.694484863916	155.265456792627	153.114276788934	173.867587530413	163.654347375961
DN756_00155		PTS mannitol transporter subunit IICBA	CDS	0.0278168660963224	0.83188334728996	0.896804275899779	133.74391634735	131.892023530334	122.447358465233	134.485198683377	151.73498139133	109.385548246109
DN756_00160		mannitol-1-phosphate 5-dehydrogenase	CDS	-0.16764481962016	0.153816955252674	0.278819331557563	134.039156780787	125.090715946869	118.034841043063	105.808977329879	130.593387467429	99.4221359058622
DN756_00165		MltR family transcriptional regulator	CDS	-0.426067495315894	0.00627038952307858	0.0224839979761125	24.0128885862791	26.271717528287	25.2800477311855	19.6756555272178	13.9842834809136	22.4706746397045
DN756_00170		YibL family ribosome-associated protein	CDS	0.0326813188128816	0.874957589999338	0.922632299430731	23.0287538081529	26.1383585560622	23.6253536978716	25.4318313463507	19.2696819618888	29.5722557758375
DN756_00175		hypothetical protein	CDS	0.72687078598899	1.68262382002525e-05	0.000179271037846307	10.4318286481376	13.6026151669303	9.46852696840767	17.4778429417307	19.1595694935351	18.3369184559853
DN756_00180		hypothetical protein	CDS	1.67446841790017	0.0176740153554491	0.0517559250832816	0.196826955625239	0.933512805573649	0.27578233888566	2.4071280698192	0.8808997468292	0.847949986403942
