Locustag	Gene	Description	FeatureType	logFC	PValue	FDR	10_1970_26C_A	11_1970_26C_B	12_1970_26C_C	4_1276_26C_A	5_1276_26C_B	6_1276_26C_C
DN756_00005	dnaA	chromosomal replication initiator protein DnaA	CDS	-0.0492291327862167	0.691952600658184	0.857661546484123	375.422905801264	403.561156376948	421.890576755905	391.293828736199	389.006571070956	380.301049735084
DN756_00010		DNA polymerase III subunit beta	CDS	-0.150467591760849	0.0551329716785754	0.223998665866504	297.423394448712	325.597689515559	306.298600117294	275.384522981861	300.266911040397	261.587809209981
DN756_00020	recF	DNA replication/repair protein RecF	CDS	-0.127298610993961	0.182219821540829	0.432007815006011	232.691841212832	256.633153771434	258.269529684701	228.321347972987	230.594092341121	225.563879498836
DN756_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	-0.132092008103581	0.0666775863284521	0.2498694207968	1488.22263541995	1520.32850802943	1407.74514406308	1299.98281712409	1382.70439579118	1347.19030118311
DN756_00030		sugar-phosphatase	CDS	-0.190125511942975	0.0721108676145601	0.265267342207464	30.4559947678134	36.3229583278664	33.1269689147238	27.2786555783918	30.9656971996781	29.3076038327955
DN756_00035		hypothetical protein	CDS	0.255291496121176	0.601587294266971	0.802740540074895	0.603089005303236	0.736276182321616	0.402759500482964	0.899296337749182	0.788478400917729	0.436125057035647
DN756_00040		ornithine cyclodeaminase family protein	CDS	-0.107664147557391	0.272788444502771	0.541534754613489	73.4763438127775	75.6728298497216	77.6318937180914	70.3449579750471	69.7444985539045	70.3905842055534
DN756_00045		threonine/serine dehydratase	CDS	-0.0116841308043567	0.905335925166533	0.969025906828236	71.265017459999	79.1087853672225	72.1946404615713	76.7399541545968	74.1886495408954	69.9544591485177
DN756_00050		DUF3748 domain-containing protein	CDS	0.0527275444055716	0.574729177152684	0.784451476549796	83.7288569029325	85.8988879375218	75.4167164654351	83.7344812259794	87.5927823564968	82.8637608367729
DN756_00055		YceK/YidQ family lipoprotein	CDS	0.278271163251697	0.286425765986153	0.555652115515995	10.252513090155	6.29925178208493	6.24277225748595	8.69319793157542	9.53342066564163	9.24585120915571
DN756_00060		heat shock protein IbpA	CDS	0.685780019979042	0.0254359556220448	0.142712098350016	71.1645026257818	69.0463442088271	64.944969452878	101.720407980963	78.131041545484	150.463144677298
DN756_00065	ibpB	heat shock chaperone IbpB	CDS	0.783209126971494	0.0261889958154593	0.145712662828792	121.321404900168	111.913979712886	101.294014371466	182.856922009	144.721626495718	248.416832487504
DN756_00070		putative transporter	CDS	0.22597347484534	0.230082147097641	0.49027078791125	136.800689369617	107.414514154253	108.7450651304	136.892886968487	155.258565126164	120.370515741838
DN756_00075		valine--pyruvate transaminase	CDS	-0.413526851202205	0.0106397120892884	0.082243238537353	31.5616579442027	40.7406154217961	35.0400765420179	28.6775609926683	28.4569022876671	23.5507530799249
DN756_00095		alpha-amylase	CDS	0.309800736247863	0.186826368875447	0.438234199630152	134.287818514187	146.928002605513	130.896837656963	145.686006715367	146.370263152182	218.934778631895
DN756_00100		bifunctional glyoxylate/hydroxypyruvate reductase B	CDS	-0.0578919427910278	0.549069957021331	0.77232241847874	199.421431086937	187.914043421417	187.987996850424	184.255827423277	189.736575202657	178.636823361801
DN756_00105		transcriptional regulator	CDS	0.034292100449052	0.852172268669604	0.943872879745951	16.7859773142734	14.6437151817299	11.9820951393682	13.0897578050159	18.4217226396233	12.7348516654409
