Locustag	Gene	Description	FeatureType	logFC	PValue	FDR	1_983_26C_A	2_983_26C_B	3_983_26C_C	10_1970_26C_A	11_1970_26C_B	12_1970_26C_C
DN756_00005	dnaA	chromosomal replication initiator protein DnaA	CDS	0.0708552178414855	0.569182264472284	0.717026462728292	383.208022081129	386.006808525029	374.093132239815	375.422905801264	403.561156376948	421.890576755905
DN756_00010		DNA polymerase III subunit beta	CDS	0.174203786834366	0.0282738378713177	0.0880754234156287	278.91223050441	272.640208143028	272.126614374795	297.423394448712	325.597689515559	306.298600117294
DN756_00020	recF	DNA replication/repair protein RecF	CDS	0.148079005111768	0.123081551442439	0.259918131301218	230.451559670782	221.273212405935	222.993927454354	232.691841212832	256.633153771434	258.269529684701
DN756_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	0.143877994546747	0.0471265123279135	0.128253266566319	1339.51615141211	1353.78974499268	1303.82051110345	1488.22263541995	1520.32850802943	1407.74514406308
DN756_00030		sugar-phosphatase	CDS	0.25486533975624	0.0187825581006982	0.0660605160240536	26.6884853866354	28.9523066881792	28.1286945834538	30.4559947678134	36.3229583278664	33.1269689147238
DN756_00035		hypothetical protein	CDS	-0.539037279231961	0.257202540586686	0.430243495905894	0.965701773858516	0.718419520798492	0.925286006034666	0.603089005303236	0.736276182321616	0.402759500482964
DN756_00040		ornithine cyclodeaminase family protein	CDS	0.0125361863005538	0.896929201118793	0.943625193315465	70.6718116323732	80.3193024252714	73.7452946809629	73.4763438127775	75.6728298497216	77.6318937180914
DN756_00045		threonine/serine dehydratase	CDS	-0.122001066791392	0.220482259131745	0.387391197404286	71.2863491248286	88.2937591061346	82.6280403388957	71.265017459999	79.1087853672225	72.1946404615713
DN756_00050		DUF3748 domain-containing protein	CDS	-0.196082015654401	0.0444527631742488	0.123151984284952	90.9515488834021	97.2740031161158	92.5286006034666	83.7288569029325	85.8988879375218	75.4167164654351
DN756_00055		YceK/YidQ family lipoprotein	CDS	-0.215636204045971	0.407463314987209	0.583380285860886	9.30585345718207	8.11814058502295	8.97527425853626	10.252513090155	6.29925178208493	6.24277225748595
DN756_00060		heat shock protein IbpA	CDS	-1.60553328136705	2.64530965957548e-05	0.000454811609281518	154.600074887713	341.033746523044	127.874526033991	71.1645026257818	69.0463442088271	64.944969452878
DN756_00065	ibpB	heat shock chaperone IbpB	CDS	-1.67977418892212	8.55847277489555e-05	0.0010988859594946	221.1457062136	640.542844743935	209.022108763231	121.321404900168	111.913979712886	101.294014371466
DN756_00070		putative transporter	CDS	-0.750499372289947	0.000559193343773438	0.00457169088807427	209.557284927298	211.933758635555	172.010668521844	136.800689369617	107.414514154253	108.7450651304
DN756_00075		valine--pyruvate transaminase	CDS	0.701796910569596	9.7399695806443e-05	0.00122314476928091	20.2797372510288	22.5583729530726	23.2246787514701	31.5616579442027	40.7406154217961	35.0400765420179
DN756_00095		alpha-amylase	CDS	-0.770253390425092	0.00319813260913365	0.0175023486778544	208.328209942387	287.439650271476	206.986479549955	134.287818514187	146.928002605513	130.896837656963
