	Locustag	Gene	Description	FeatureType	1276	1968	1970	983
0	DN756_00005	dnaA	chromosomal replication initiator protein DnaA	CDS	386.867149847413	385.21601582798763	400.2915463113723	381.10265428199097
1	DN756_00010		DNA polymerase III subunit beta	CDS	279.07974774407967	299.972151926296	309.7732280271883	274.55968434074435
2	DN756_00020	recF	DNA replication/repair protein RecF	CDS	228.15977327098133	225.42566817563602	249.1981748896557	224.90623317702367
3	DN756_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	CDS	1343.2925046994599	1416.4911590712234	1472.0987625041535	1332.3754691694132
4	DN756_00030		sugar-phosphatase	CDS	29.183985536955134	31.633854131249564	33.30197400346787	27.923162219422796
5	DN756_00035		hypothetical protein	CDS	0.7079665985675194	0.4617180419882207	0.580708229369272	0.8698024335638913
6	DN756_00040		ornithine cyclodeaminase family protein	CDS	70.16001357816833	78.64368958456076	75.59368912686351	74.91213624620251
7	DN756_00045		threonine/serine dehydratase	CDS	73.62768761466997	77.9396342135497	74.18948109626426	80.7360495232863
8	DN756_00050		DUF3748 domain-containing protein	CDS	84.73034147308302	87.71578356098509	81.68148710196313	93.58471753432816
9	DN756_00055		YceK/YidQ family lipoprotein	CDS	9.157489935457587	9.234616914153143	7.598179043241959	8.799756100247093
10	DN756_00060		heat shock protein IbpA	CDS	110.10486473458167	88.2827826538825	68.38527209582897	207.83611581491598
11	DN756_00065	ibpB	heat shock chaperone IbpB	CDS	191.99846033074064	133.22934809451098	111.50979966150668	356.90355324025535
12	DN756_00070		putative transporter	CDS	137.507322612163	131.20637060937	117.65342288475667	197.83390402823235
13	DN756_00075		valine--pyruvate transaminase	CDS	26.895072120086766	27.891533907901664	35.78078330267223	22.02092965185717
14	DN756_00095		alpha-amylase	CDS	170.33034949981467	119.82511874044599	137.37088625888765	234.25144658793934
15	DN756_00100		bifunctional glyoxylate/hydroxypyruvate reductase B	CDS	184.20974199591168	192.626930967478	191.774490452926	184.43008037485535
16	DN756_00105		transcriptional regulator	CDS	14.748777370026701	14.290108069239631	14.470595878457166	16.429094205134366
17	DN756_00110		hypothetical protein	CDS	5.068863910883503	3.7353191678580733	4.993944705936717	4.387900513683427
18	DN756_00115		OmpA family lipoprotein	CDS	17.508180222039098	15.993766310637033	17.780974597036234	13.121343420797032
19	DN756_00120		N-acetyltransferase	CDS	5.6045974448487605	6.3831846875777565	5.298061239117843	5.532661958153084
20	DN756_00125	tag	DNA-3-methyladenine glycosylase I	CDS	25.166322731718335	23.677655713922334	23.430888164008135	24.709593786329567
21	DN756_00130		hypothetical protein	CDS	1.6985367555186368	1.5942597051377867	1.2238877177235812	1.6891780013174966
22	DN756_00135	glyQ	glycine--tRNA ligase subunit alpha	CDS	300.94349303578497	332.8767442764506	361.4534538100147	278.0886740856883
23	DN756_00140		glycine--tRNA ligase subunit beta	CDS	491.241233431935	549.1763771741868	631.8318878218987	455.461992758793
24	DN756_00145		hypothetical protein	CDS	15.501358919812134	15.729647766928133	18.091432300214265	13.045973378264065
25	DN756_00150		DUF3053 domain-containing protein	CDS	183.08806994349035	201.52310124132498	193.49239557287532	175.25353938674235
26	DN756_00155		PTS mannitol transporter subunit IICBA	CDS	75.7555486278942	61.62234687704123	54.66354000663896	101.1044585654716
27	DN756_00160		mannitol-1-phosphate 5-dehydrogenase	CDS	78.03724328470423	68.97369343418097	64.1050017080474	93.81459334616324
28	DN756_00165		MltR family transcriptional regulator	CDS	22.54967936150617	19.702713481470933	19.237715846309534	21.632873218199432
29	DN756_00170		YibL family ribosome-associated protein	CDS	24.476373970012165	23.962066494462203	24.924712712196268	21.10231174556257
30	DN756_00175		hypothetical protein	CDS	17.469551917307566	19.130226137511936	16.964914896943668	18.335310421072833
31	DN756_00180		hypothetical protein	CDS	0.7934091158888824	1.0641932925967408	1.1217344044623843	0.6862220937733183
32	DN756_00185		HAMP domain-containing protein	CDS	2.3564998261215666	3.043274881936393	2.890614438537463	2.92761797587889
33	DN756_00190		superoxide dismutase [Mn]	CDS	2235.3857683076935	2120.9412428346864	2098.6714846601567	2043.76641300884
34	DN756_00195		sulfurtransferase FdhD	CDS	73.55967617712291	68.46629661605186	64.35763249622543	73.95423176886243
35	DN756_00200		sulfate ABC transporter substrate-binding protein	CDS	1977.1384413628566	1974.5041377931466	1766.4123716532467	2226.6642136337964
36	DN756_00205	fdnG	formate dehydrogenase-N subunit alpha	CDS	4498.105762221784	4645.469675362807	4458.31154842106	4980.83616689134
37	DN756_00210	fdxH	formate dehydrogenase subunit beta	CDS	697.2725995150344	706.5722151425334	689.7031673817319	747.1998271208986
38	DN756_00215		formate dehydrogenase cytochrome b556 subunit	CDS	545.289622824343	534.0362912034783	514.5221571175047	591.0317153093224
39	DN756_00220	fdhE	formate dehydrogenase accessory protein FdhE	CDS	549.857813868657	564.8408464382433	553.3948429143776	573.078342236575
40	DN756_00225		L-selenocysteinyl-tRNA(Sec) synthase	CDS	463.18597727818104	488.912276474634	490.2896971713714	455.8287865373797
41	DN756_00230	selB	selenocysteinyl-tRNA-specific translation elongation factor SelB	CDS	395.66577851044696	426.58518979203564	467.41187492624766	402.30837286833065
42	DN756_00235		Tn3 family transposase	CDS	1.0328569514855672	1.3416219316947668	1.3666456563027205	1.61513075007534
43	DN756_00240		hypothetical protein	CDS	38.65957160211986	34.15117368941543	39.260888051976735	31.51273296213297
44	DN756_00245		DUF4225 domain-containing protein	CDS	1.1564392359989795	1.2034656998343285	1.4754902213678767	1.3396479320927064
45	DN756_00255		hypothetical protein	CDS	2.22727019134538	2.461587047304023	2.94613433301536	2.1943992662977534
46	DN756_00260	mdfA	MdfA family multidrug efflux MFS transporter	CDS	57.824118192977295	65.31245713727564	78.7667999587841	47.031423126887496
47	DN756_00265		transposase	CDS	10.538382722235392	10.236862293557657	9.394174166339964	11.132073664760483
48	DN756_00270		hypothetical protein	CDS	1.5222189979949008	1.0798497744117432	1.26834179036422	0.907540849939586
49	DN756_00275		acyltransferase	CDS	32.59541672877963	34.8827263218254	31.1931241875659	35.16507821604617
50	DN756_00280		fimbrial protein	CDS	1.128380735493705	1.2040522964407996	0.9222848681041179	1.5331798595584134
51	DN756_00285		fimbrial biogenesis outer membrane usher protein	CDS	6.111502261050366	5.3579905608013805	6.257397784000767	6.005768125518229
52	DN756_00290		molecular chaperone	CDS	2.97202380922921	2.2578416819981033	2.366947888754393	2.4185021641306066
53	DN756_00295		fimbrial protein	CDS	2.9185405337168002	3.2349135682192567	3.934681560459367	2.8249804368383464
54	DN756_00300	xylB	xylulokinase	CDS	265.47250696866234	271.8237327779903	247.9635326803503	303.1751276330973
55	DN756_00305	xylA	xylose isomerase	CDS	65.53667524084229	66.9322201217617	60.99416249493049	69.7016773504553
56	DN756_00310		D-xylose ABC transporter substrate-binding protein	CDS	14.333055923040634	12.60760929829433	13.526704489389132	18.520252629078968
57	DN756_00315		xylose ABC transporter ATP-binding protein	CDS	14.661050350709667	13.806828267220967	11.99319788692483	15.621938315165934
58	DN756_00320		sugar ABC transporter permease	CDS	12.393325214412698	11.997642725575966	12.504918646408631	13.372122742229001
59	DN756_00325		helix-turn-helix domain-containing protein	CDS	29.277825046425097	28.820910405771837	23.68737937995263	36.5410500465838
60	DN756_00330		DUF4102 domain-containing protein	CDS	75.10188201788124	77.20734237276378	68.1297823062265	79.38052301939064
